Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Seasons,Delta_G,Delta_Passing_Cmp,Delta_Passing_Att,Delta_Passing_Pct,Delta_Passing_Yds,Delta_Passing_Y/A,Delta_Passing_AY/A,Delta_Passing_TD,Delta_Passing_Int,Delta_Passing_Rate,Delta_Rushing_Att,Delta_Rushing_Yds,Delta_Rushing_Avg,Delta_Rushing_TD,Rating,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Team,Round,Pick,Draftyear
Jason Thomas,UNLV,MWC,10.666666666666666,107.66666666666667,223.0,48.13333333333333,1665.6666666666667,7.533333333333334,6.466666666666666,10.0,9.333333333333334,117.83333333333333,123.0,509.3333333333333,4.133333333333334,8.0,3,0.0,14.0,36.5,-1.9000000000000021,114.0,-0.7000000000000002,-0.7000000000000002,-3.0,-1.0,-12.649999999999999,-7.0,-75.5,-0.34999999999999987,-1.0,,2000,Jason Thomas,OG,22.0,1.0,South Carolina,75,300,5.22,29.5,23.0,100.0,7.99,,San Diego Chargers ,7.0,222.0,2000.0
George Godsey,Georgia Tech,ACC,11.5,235.5,366.5,64.2,2995.5,8.15,8.3,20.5,8.5,147.0,60.5,-3.0,0.0,3.0,2,1.0,27.0,35.0,1.1999999999999957,179.0,-0.3000000000000007,-1.2000000000000002,-5.0,5.0,-9.800000000000011,11.0,-84.0,-1.4,2.0,,,,,,,,,,,,,,,,,,,
Ryan Schneider,UCF,Ind,10.666666666666666,215.33333333333334,357.6666666666667,60.199999999999996,3009.0,8.4,8.133333333333333,23.0,12.0,145.0666666666667,33.666666666666664,-73.66666666666667,-2.3000000000000003,2.3333333333333335,3,1.5,44.0,72.0,-0.14999999999999858,718.0,0.3000000000000007,0.2999999999999998,5.0,2.5,2.299999999999997,5.0,-0.5,0.44999999999999984,0.5,,,,,,,,,,,,,,,,,,,
Jason Gesser,Washington State,Pac-10,11.333333333333334,187.66666666666666,341.0,54.6,2795.0,8.166666666666666,7.933333333333334,23.333333333333332,12.0,138.4333333333333,66.0,10.666666666666666,-0.03333333333333336,1.3333333333333333,3,2.0,54.0,78.0,3.3500000000000014,720.5,0.25,0.4500000000000002,6.0,1.5,6.950000000000003,-2.0,-81.5,-1.45,-1.0,,,,,,,,,,,,,,,,,,,
Travis Cole,Minnesota,Big Ten,9.0,131.0,223.0,58.7,1780.0,8.0,8.0,11.0,5.0,137.6,65.0,184.0,2.8,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Perez,UTEP,WAC,11.0,200.0,338.0,59.2,2661.0,7.9,8.6,26.0,6.0,147.1,74.0,82.0,1.1,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Curry,North Carolina,ACC,11.0,163.0,304.0,53.6,2325.0,7.6,6.6,11.0,12.0,121.9,119.0,351.0,2.9,6.0,1,,,,,,,,,,,,,,,,2002,Ronald Curry,QB,22.0,17.0,North Carolina,74,220,4.59,35.0,,115.0,7.06,4.11,Oakland Raiders ,7.0,235.0,2002.0
Casey Clausen,Tennessee,SEC,11.25,193.75,317.5,61.425,2426.75,7.6499999999999995,7.699999999999999,18.75,7.75,140.45,57.25,-32.5,-0.625,1.5,4,1.3333333333333333,37.333333333333336,72.66666666666667,-1.9333333333333325,498.3333333333333,-0.13333333333333316,-0.06666666666666672,4.0,1.0,-3.7333333333333294,8.0,-1.0,0.13333333333333333,-0.5,,,,,,,,,,,,,,,,,,,
Lon Sheriff,San Diego State,MWC,10.5,133.0,263.0,50.2,1729.0,6.5,4.85,4.5,11.5,101.25,43.5,-161.0,-3.9,0.5,2,1.0,-44.0,-54.0,-6.399999999999999,-868.0,-2.0,-2.7,-3.0,1.0,-28.099999999999994,-21.0,2.0,-1.7999999999999998,-1.0,,,,,,,,,,,,,,,,,,,
Jose Fuentes,Utah State,Big West,10.666666666666666,233.33333333333334,419.6666666666667,55.46666666666667,3025.6666666666665,7.233333333333333,6.733333333333333,20.0,13.666666666666666,125.39999999999999,48.0,-123.66666666666667,-2.6,0.0,3,0.5,26.0,43.0,0.75,279.5,-0.10000000000000009,-0.3500000000000001,2.0,3.5,-1.0,9.5,-8.5,0.2499999999999999,,,,,,,,,,,,,,,,,,,,
Dave Ragone,Louisville,CUSA,12.0,228.0,392.6666666666667,58.333333333333336,2852.3333333333335,7.3,7.466666666666666,24.666666666666668,9.666666666666666,135.76666666666665,108.0,188.66666666666666,1.7,3.0,3,1.0,10.5,43.5,-3.6499999999999986,129.5,-0.4500000000000002,-0.5,-1.5,0.0,-10.299999999999997,15.0,-2.0,-0.30000000000000004,-3.0,,2003,Dave Ragone,QB,23.0,1.0,Louisville,76,249,4.99,30.5,,101.0,7.42,4.36,Houston Texans ,3.0,88.0,2003.0
Mark Farris,Texas A&M,Big 12,11.0,205.5,347.0,59.2,2322.5,6.7,6.05,9.0,9.0,118.8,53.5,20.0,0.1499999999999999,2.0,2,0.0,-5.0,0.0,-1.3999999999999986,-457.0,-1.4000000000000004,-1.5,-2.0,0.0,-14.400000000000006,-13.0,-192.0,-3.5,0.0,,,,,,,,,,,,,,,,,,,
David Carr,Fresno State,WAC,12.5,269.0,424.5,62.95,3588.5,8.25,8.5,32.0,10.0,150.65,79.5,73.5,0.95,4.5,2,3.0,150.0,217.0,3.1000000000000014,2501.0,1.6999999999999993,3.0,28.0,-2.0,30.5,29.0,-13.0,-0.5,1.0,72.5,2002,David Carr,QB,22.0,49.0,Fresno State,75,223,4.67,35.0,,108.0,7.05,4.28,Houston Texans ,1.0,1.0,2002.0
Jesse Palmer,Florida,SEC,10.0,116.0,223.0,52.0,1653.0,7.4,7.6,11.0,4.0,127.0,36.0,-51.0,-1.4,6.0,1,,,,,,,,,,,,,,,,2001,Jesse Palmer,QB,22.0,1.0,Florida,74,231,4.78,35.5,,112.0,7.13,4.29,New York Giants ,4.0,125.0,2001.0
Byron Leftwich,Marshall,MAC,12.0,308.3333333333333,472.6666666666667,65.16666666666667,3919.3333333333335,8.266666666666667,8.700000000000001,29.666666666666668,8.666666666666666,151.70000000000002,61.0,58.0,0.7999999999999999,2.0,3,0.0,26.0,17.0,3.150000000000002,455.0,0.6999999999999997,0.7999999999999998,4.5,0.5,11.25,-22.5,-42.0,-0.5,1.0,75.0,2003,Byron Leftwich,QB,23.0,36.0,Marshall,77,241,4.85,,,,,,Jacksonville Jaguars ,1.0,7.0,2003.0
Joey Harrington,Oregon,Pac-10,12.0,214.0,384.5,55.8,2865.5,7.449999999999999,7.6000000000000005,24.5,10.0,134.60000000000002,60.5,90.0,1.45,7.0,2,0.0,0.0,-41.0,6.0,-203.0,0.2999999999999998,1.4000000000000004,5.0,-8.0,18.400000000000006,-11.0,-68.0,-0.8999999999999999,0.0,,2002,Joey Harrington,QB,23.0,34.0,Oregon,76,215,4.89,32.0,,112.0,7.0,4.21,Detroit Lions ,1.0,3.0,2002.0
Phil Petty,South Carolina,SEC,12.0,167.0,301.5,55.45,2105.5,7.0,6.35,10.0,8.5,119.45,71.0,137.0,1.8,1.5,2,0.0,-6.0,-27.0,2.8999999999999986,-359.0,-0.5999999999999996,0.10000000000000053,4.0,-3.0,5.099999999999994,22.0,156.0,1.6,,,,,,,,,,,,,,,,,,,,
Jeff Welsh,Western Michigan,MAC,12.0,207.0,354.0,58.5,2537.0,7.2,6.5,15.0,12.0,125.9,72.0,16.0,0.2,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Arroyo,San Jose State,WAC,11.5,153.5,293.5,52.45,2124.5,7.25,6.25,13.5,12.0,120.1,19.0,-25.0,-1.2999999999999998,1.0,2,-1.0,-25.0,-65.0,3.1000000000000014,-419.0,0.09999999999999964,-0.9000000000000004,-3.0,4.0,0.0,-16.0,24.0,0.19999999999999996,-2.0,,,,,,,,,,,,,,,,,,,
Brooks Bollinger,Wisconsin,Big Ten,12.5,120.5,227.0,53.05,1618.5,7.15,7.05,12.0,5.5,125.25,158.5,462.5,2.9,7.0,2,1.0,21.0,36.0,0.8999999999999986,279.0,0.10000000000000053,1.0999999999999996,4.0,-3.0,8.100000000000009,3.0,7.0,0.0,2.0,,,,,,,,,,,,,,,,,,,
Philip Rivers,North Carolina State,ACC,12.25,271.75,427.5,63.400000000000006,3371.0,7.8,8.0,23.75,8.5,143.125,63.0,24.0,0.35000000000000003,4.25,4,0.6666666666666666,37.0,14.0,6.099999999999999,479.0,0.8000000000000002,1.0333333333333332,3.0,-1.0,14.800000000000002,1.6666666666666667,65.33333333333333,0.8666666666666666,0.3333333333333333,88.71428571428571,2004,Philip Rivers,QB,22.0,218.0,North Carolina State,77,229,5.08,,,,,,New York Giants ,1.0,4.0,2004.0
Jeff Krohn,Arizona State,Pac-10,10.0,120.0,233.5,51.6,1846.5,8.0,8.1,15.5,6.5,135.7,51.0,-5.0,-0.09999999999999999,0.5,2,0.0,-10.0,-41.0,4.799999999999997,191.0,2.1999999999999993,2.6000000000000005,7.0,1.0,35.400000000000006,-10.0,-20.0,-0.4,,,,,,,,,,,,,,,,,,,,
Talmadge Hill,Ball State,MAC,11.333333333333334,147.66666666666666,255.33333333333334,58.333333333333336,1699.6666666666667,6.7,5.733333333333333,13.0,11.0,122.89999999999999,92.0,201.0,2.2333333333333334,1.3333333333333333,3,0.5,12.0,20.5,-0.1999999999999993,118.0,-0.10000000000000009,0.5499999999999998,0.0,-3.0,0.6499999999999915,1.0,6.0,0.050000000000000266,0.5,,,,,,,,,,,,,,,,,,,
Jeff Smoker,Michigan State,Big Ten,11.0,190.33333333333334,315.6666666666667,59.199999999999996,2446.3333333333335,7.900000000000001,7.5,16.0,9.666666666666666,136.20000000000002,72.33333333333333,-59.666666666666664,-0.8666666666666667,2.3333333333333335,3,2.0,99.5,145.5,4.800000000000001,1015.0,0.04999999999999982,0.2999999999999998,7.5,3.5,7.700000000000003,-5.0,-55.5,-0.8500000000000001,0.5,,,,,,,,,,,,,,,,,,,
Ben Leard,Auburn,SEC,12.0,193.0,319.0,60.5,2158.0,6.8,6.1,12.0,10.0,123.5,33.0,-87.0,-2.6,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquel Blackwell,South Florida,Ind,11.0,219.66666666666666,385.0,57.166666666666664,2496.0,6.5,6.733333333333333,17.0,6.0,123.46666666666665,103.0,369.6666666666667,3.466666666666667,5.666666666666667,3,0.0,29.5,53.5,-0.34999999999999787,287.0,-0.19999999999999973,-0.04999999999999982,2.5,-0.5,-1.25,-19.5,-132.0,-0.5000000000000002,1.0,,,,,,,,,,,,,,,,,,,
Brad Lewis,West Virginia,Big East,10.5,121.5,230.0,52.7,1420.0,6.15,5.25,7.5,8.0,108.55,44.5,7.5,0.050000000000000044,1.0,2,1.0,27.0,14.0,8.600000000000001,-162.0,-1.1000000000000005,-1.5,-1.0,2.0,-3.9000000000000057,19.0,67.0,1.5,0.0,,,,,,,,,,,,,,,,,,,
Jared Lorenzen,Kentucky,SEC,11.666666666666666,231.66666666666666,407.3333333333333,56.73333333333333,2725.0,6.7,6.6000000000000005,19.666666666666668,11.333333333333334,125.06666666666666,75.0,54.666666666666664,0.5666666666666668,3.3333333333333335,3,0.5,-65.0,-111.5,-0.3000000000000007,-733.0,0.0,0.4500000000000002,-1.5,-6.5,3.3999999999999986,6.5,-32.5,-0.5,-5.0,,2004,Jared Lorenzen,QB,23.0,0.0,Kentucky,75,288,5.28,,,,,,,,,
Zak Kustok,Northwestern,Big Ten,11.5,218.5,383.5,56.95,2540.5,6.65,6.65,19.5,8.5,124.95,170.5,542.5,3.15,10.0,2,-1.0,25.0,41.0,0.5,303.0,0.10000000000000053,-0.2999999999999998,1.0,3.0,-0.9000000000000057,9.0,75.0,0.2999999999999998,2.0,,,,,,,,,,,,,,,,,,,
Rudy Caamano,New Mexico,MWC,12.0,107.0,192.0,55.7,1270.0,6.6,6.1,11.0,7.0,122.9,109.0,86.0,0.8,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timmy Chang,Hawaii,WAC,12.5,326.25,574.0,56.575,3993.0,6.949999999999999,6.449999999999999,27.75,18.5,124.1,35.5,-27.75,-0.875,1.5,4,1.0,37.666666666666664,44.333333333333336,2.4333333333333322,405.6666666666667,0.19999999999999987,0.6333333333333334,6.333333333333333,-2.0,7.800000000000002,4.666666666666667,21.333333333333332,0.8333333333333334,0.0,,,,,,,,,,,,,,,,,,,
Rashard Casey,Penn State,Big Ten,12.0,163.0,309.0,52.8,2001.0,6.5,6.2,14.0,8.0,116.9,112.0,315.0,2.8,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aso Pogi,Oklahoma State,Big 12,10.5,159.0,271.5,58.4,1702.0,6.3,5.35,8.5,9.0,114.35,77.5,75.5,0.8999999999999999,4.5,2,1.0,40.0,49.0,4.200000000000003,304.0,0.0,1.1000000000000005,5.0,-4.0,12.5,-15.0,-167.0,-2.0,-3.0,,,,,,,,,,,,,,,,,,,
Charlie Peterson,Brigham Young,MWC,10.0,149.0,260.0,57.3,1617.0,6.2,5.8,6.0,5.0,113.3,38.0,-78.0,-2.1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Outlaw,Missouri,Big 12,10.0,105.0,225.0,46.7,1391.0,6.2,3.8,9.0,16.0,97.6,110.0,259.0,2.4,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Sahm,Bowling Green State,MAC,10.5,122.5,221.0,56.0,1408.0,6.4,5.3,9.5,9.5,115.6,66.5,-21.5,-0.15000000000000002,3.0,2,-1.0,-1.0,-46.0,11.200000000000003,-164.0,0.6000000000000005,0.40000000000000036,3.0,1.0,21.0,-29.0,109.0,1.5,0.0,,,,,,,,,,,,,,,,,,,
Robby Hampton,Arkansas,SEC,10.0,145.0,261.0,55.6,1548.0,5.9,5.5,13.0,8.0,115.7,29.0,-19.0,-0.7,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Vickers,Central Michigan,MAC,11.0,125.33333333333333,238.66666666666666,51.800000000000004,1410.6666666666667,5.933333333333334,5.6000000000000005,9.0,5.666666666666667,109.63333333333333,56.666666666666664,68.0,1.1666666666666667,1.6666666666666667,3,0.5,17.5,18.0,4.25,143.0,0.1499999999999999,0.19999999999999973,2.0,1.0,7.25,-6.0,-4.5,0.0,-0.5,,,,,,,,,,,,,,,,,,,
Kliff Kingsbury,Texas Tech,Big 12,12.333333333333334,402.0,608.6666666666666,66.06666666666666,3979.0,6.466666666666666,6.533333333333334,30.333333333333332,13.0,132.5,82.0,-47.666666666666664,-0.5333333333333333,1.3333333333333333,3,1.0,58.5,63.5,2.6999999999999993,799.5,0.6000000000000001,1.1,12.0,-2.0,13.349999999999994,12.0,-66.5,-0.65,-2.0,,2003,Kliff Kingsbury,QB,23.0,0.0,Texas Tech,75,213,4.77,30.0,,101.0,6.92,4.1,New England Patriots ,6.0,201.0,2003.0
D. Bryant,Duke,ACC,11.0,158.0,321.0,49.35,1951.0,6.0,4.65,8.0,13.5,99.4,81.0,-40.5,-0.5,2.0,2,0.0,58.0,126.0,-1.2999999999999972,1006.0,0.8000000000000007,0.7000000000000002,6.0,7.0,7.200000000000003,4.0,111.0,1.4,2.0,,,,,,,,,,,,,,,,,,,
Zach Williams,Kent State,MAC,9.0,114.0,213.0,53.5,1120.0,5.3,3.9,4.0,8.0,96.4,32.0,-27.0,-0.8,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rix,Florida State,ACC,11.666666666666666,166.33333333333334,297.6666666666667,55.53333333333333,2508.3333333333335,8.4,8.066666666666666,20.0,11.0,140.89999999999998,91.33333333333333,269.3333333333333,2.9333333333333336,3.6666666666666665,3,1.0,25.5,48.0,-0.6000000000000014,186.5,-0.75,-0.6999999999999997,-0.5,0.0,-9.349999999999994,-5.0,-129.5,-1.2,1.0,,,,,,,,,,,,,,,,,,,
Ryan Dinwiddie,Boise State,WAC,12.5,238.5,384.0,62.15,3699.5,9.65,10.1,30.0,9.0,164.2,76.0,70.0,0.95,7.5,2,3.0,75.0,124.0,-0.5,1313.0,0.3000000000000007,0.8000000000000007,2.0,-4.0,-1.0,10.0,-54.0,-0.8999999999999999,9.0,,,,,,,,,,,,,,,,,,,
Rohan Davey,LSU,SEC,12.0,217.0,367.0,59.1,3347.0,9.1,8.9,18.0,10.0,146.5,38.0,4.0,0.1,0.0,1,,,,,,,,,,,,,,,,2002,Rohan Davey,QB,23.0,0.0,LSU,74,245,4.74,,,,,,New England Patriots ,4.0,117.0,2002.0
Brandon Doman,Brigham Young,MWC,13.0,261.0,408.0,64.0,3542.0,8.7,9.4,33.0,8.0,159.7,141.0,503.0,3.6,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Greene,Georgia,SEC,12.75,212.25,360.0,58.9,2882.0,8.075,8.1,18.0,8.0,139.375,51.0,-64.5,-1.35,1.25,4,0.3333333333333333,-5.666666666666667,-8.333333333333334,-0.2666666666666657,-93.66666666666667,-0.06666666666666643,0.2333333333333331,1.0,-1.6666666666666667,1.6999999999999982,-8.0,-36.0,-1.2666666666666666,0.0,,,,,,,,,,,,,,,,,,,
Nick Rolovich,Hawaii,WAC,10.0,233.0,405.0,57.5,3361.0,8.3,9.0,34.0,9.0,150.5,49.0,4.0,0.1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darian Durant,North Carolina,ACC,12.0,184.66666666666666,303.6666666666667,61.13333333333333,2210.6666666666665,7.466666666666666,7.133333333333333,17.333333333333332,9.666666666666666,136.60000000000002,76.66666666666667,237.33333333333334,2.966666666666667,3.0,3,0.0,18.0,38.0,-2.1000000000000014,197.5,-0.40000000000000036,-0.25,0.0,-0.5,-7.1000000000000085,11.5,30.0,0.04999999999999982,-0.5,,,,,,,,,,,,,,,,,,,
Ben Roethlisberger,Miami (OH),MAC,12.666666666666666,284.6666666666667,434.6666666666667,65.23333333333333,3609.6666666666665,8.266666666666666,8.299999999999999,28.0,11.333333333333334,150.33333333333334,89.66666666666667,82.0,0.8666666666666667,2.3333333333333335,3,1.0,50.5,57.0,2.8999999999999986,690.5,0.5,0.8499999999999996,6.0,-1.5,9.650000000000006,-26.5,-39.0,0.050000000000000044,0.0,89.42857142857143,2004,Ben Roethlisberger,QB,22.0,199.0,Miami (OH),77,241,4.75,,,,,,Pittsburgh Steelers ,1.0,11.0,2004.0
Gino Guidugli,Cincinnati,CUSA,11.75,220.0,389.0,56.975,2863.25,7.425,7.1,19.5,12.0,130.3,58.75,52.0,0.775,1.25,4,0.3333333333333333,8.333333333333334,8.333333333333334,1.0,20.0,-0.13333333333333316,0.13333333333333316,3.3333333333333335,-0.3333333333333333,3.0,-1.3333333333333333,55.0,1.2333333333333334,-0.5,,,,,,,,,,,,,,,,,,,
Cody Pickett,Washington,Pac-10,11.666666666666666,263.6666666666667,455.6666666666667,57.43333333333334,3301.3333333333335,7.333333333333333,6.633333333333333,17.666666666666668,13.666666666666666,124.8,83.0,-62.0,-0.7666666666666667,3.6666666666666665,3,1.0,44.0,76.5,0.25,320.0,-0.6499999999999999,-0.25,2.5,-0.5,-3.4000000000000057,-1.5,-60.5,-0.7500000000000001,-1.0,,2004,Cody Pickett,QB,23.0,1.0,Washington,75,233,4.79,30.5,,109.0,7.19,4.3,San Francisco 49ers ,7.0,217.0,2004.0
Kyle McCann,Iowa,Big Ten,12.0,167.0,252.0,66.3,2028.0,8.0,7.4,16.0,11.0,146.1,58.0,78.0,1.3,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Crouch,Nebraska,Big 12,12.0,105.0,189.0,55.6,1510.0,8.0,6.3,7.0,10.0,124.3,203.0,1115.0,5.5,18.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Fant,Mississippi State,SEC,10.333333333333334,147.66666666666666,277.3333333333333,53.56666666666666,1807.0,6.766666666666666,5.266666666666667,10.666666666666666,14.0,113.26666666666667,52.333333333333336,-69.66666666666667,-0.9666666666666668,0.6666666666666666,3,1.5,46.0,90.5,-1.1499999999999986,399.5,-0.9500000000000002,-1.15,3.0,6.0,-10.649999999999999,22.0,-79.0,-1.2000000000000002,,,,,,,,,,,,,,,,,,,,
Jason Johnson,Arizona,Pac-10,11.5,204.0,354.0,57.5,2837.0,8.0,7.35,17.5,13.0,134.1,51.0,-232.0,-4.2,1.0,2,1.0,70.0,112.0,1.5999999999999943,980.0,0.1999999999999993,0.2999999999999998,-3.0,0.0,-2.1999999999999886,18.0,-282.0,-4.0,-2.0,,,,,,,,,,,,,,,,,,,
Tyler Watts,Alabama,SEC,9.0,94.0,172.0,54.7,1325.0,7.7,8.1,10.0,3.0,135.1,111.0,564.0,5.1,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Priestley,Pitt,Big East,11.0,165.0,280.0,58.9,2128.0,7.6,7.6,18.0,8.0,138.3,56.0,53.0,0.9,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca Wallace,Iowa State,Big 12,12.5,205.5,356.0,58.6,2644.5,7.449999999999999,6.550000000000001,13.0,13.5,126.19999999999999,118.5,456.0,3.9000000000000004,7.5,2,3.0,77.0,174.0,-7.0,1201.0,-0.2999999999999998,-0.7000000000000002,4.0,9.0,-12.999999999999986,9.0,-38.0,-0.6000000000000001,1.0,72.5,2003,Seneca Wallace,QB,22.0,16.0,Iowa State,71,196,4.56,38.0,,127.0,6.98,4.14,Seattle Seahawks ,4.0,110.0,2003.0
Brian Lindgren,Idaho,Sun Belt,11.0,171.0,280.3333333333333,60.6,2150.3333333333335,7.733333333333334,7.2,14.666666666666666,9.333333333333334,135.96666666666667,26.666666666666668,-54.333333333333336,-2.066666666666667,0.0,3,0.0,10.5,16.5,0.29999999999999716,233.0,0.40000000000000036,0.8999999999999995,2.5,-1.0,7.75,-1.5,-9.0,-0.7499999999999999,,,,,,,,,,,,,,,,,,,,
Scott Hall,North Texas,Sun Belt,11.5,118.0,215.5,54.55,1635.5,7.6,7.4,15.5,7.5,135.1,73.5,77.0,0.95,2.5,2,1.0,32.0,43.0,3.8999999999999986,365.0,0.20000000000000018,1.3999999999999995,-3.0,-7.0,4.0,-25.0,-132.0,-1.5,-3.0,,,,,,,,,,,,,,,,,,,
James MacPherson,Wake Forest,ACC,12.0,118.0,216.0,54.650000000000006,1696.0,7.8,6.85,6.5,7.5,123.25,65.5,144.0,2.2,1.0,2,2.0,10.0,14.0,1.1000000000000014,282.0,0.7999999999999989,2.5,3.0,-7.0,18.69999999999999,5.0,66.0,0.8,0.0,,,,,,,,,,,,,,,,,,,
Asad Abdul-Khaliq,Minnesota,Big Ten,12.0,143.33333333333334,250.66666666666666,57.6,1994.6666666666667,8.0,8.0,16.0,7.333333333333333,140.20000000000002,81.0,319.3333333333333,3.9333333333333336,4.0,3,1.0,25.5,31.5,3.0,504.0,1.0999999999999996,1.4,2.5,-0.5,13.850000000000009,9.5,52.0,0.15000000000000013,0.5,,,,,,,,,,,,,,,,,,,
Zack Mills,Penn State,Big Ten,10.75,151.5,270.5,55.925,1803.0,6.65,5.725,10.25,9.75,116.5,68.75,146.0,2.05,2.75,4,0.0,9.333333333333334,12.666666666666666,0.8666666666666648,17.666666666666668,-0.2999999999999998,-0.20000000000000018,0.0,0.0,-1.599999999999999,-7.666666666666667,-38.333333333333336,-0.3666666666666667,0.3333333333333333,,,,,,,,,,,,,,,,,,,
Eli Manning,Ole Miss,SEC,12.333333333333334,271.0,443.3333333333333,61.300000000000004,3316.3333333333335,7.5,7.6000000000000005,27.0,11.333333333333334,139.5,40.333333333333336,-46.333333333333336,-1.1333333333333335,1.6666666666666667,3,1.0,8.0,16.5,-0.5500000000000007,326.0,0.49999999999999956,0.3500000000000001,-1.0,0.5,1.6499999999999915,7.0,-18.5,-0.44999999999999996,1.0,84.0,2004,Eli Manning,QB,23.0,169.0,Mississippi,77,221,4.9,,,,,,San Diego Chargers ,1.0,1.0,2004.0
Chris Simms,Texas,Big 12,12.5,224.5,379.0,59.2,2905.0,7.65,7.5,24.0,11.5,138.25,61.0,-67.0,-1.0,5.0,2,1.0,21.0,34.0,0.19999999999999574,604.0,0.8999999999999995,1.0,4.0,1.0,9.5,18.0,-114.0,-1.6,-2.0,,2003,Chris Simms,QB,22.0,8.0,Texas,76,220,4.84,31.0,,103.0,7.38,4.21,Tampa Bay Buccaneers ,3.0,97.0,2003.0
Shaun Hill,Maryland,ACC,11.0,197.0,329.0,59.9,2380.0,7.2,6.8,13.0,9.0,128.2,116.0,309.0,2.7,7.0,1,,,,,,,,,,,,,,,75.5,,,,,,,,,,,,,,,,,,
Brian St. Pierre,Boston College,Big East,12.0,193.0,343.0,55.8,2499.5,7.25,6.85,21.5,13.5,131.25,67.5,171.5,2.55,0.5,2,2.0,88.0,128.0,4.800000000000004,967.0,0.09999999999999964,-1.1000000000000005,-7.0,7.0,-10.5,1.0,-91.0,-1.3000000000000003,,,,,,,,,,,,,,,,,,,,
Wesley Phillips,UTEP,WAC,11.0,143.0,257.0,55.6,1839.0,7.2,6.0,10.0,11.0,120.0,49.0,-133.0,-2.7,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Noel,Virginia Tech,Big East,11.0,146.0,254.0,57.5,1826.0,7.2,6.5,16.0,11.0,130.0,61.0,-14.0,-0.2,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke McCown,Louisiana Tech,WAC,11.666666666666666,273.0,468.6666666666667,58.199999999999996,3374.0,7.2,6.666666666666667,22.0,15.666666666666666,127.7,73.0,31.333333333333332,0.3666666666666667,2.3333333333333335,3,0.5,-15.5,-18.5,-1.1000000000000014,-45.5,0.20000000000000018,-0.04999999999999982,-4.5,0.0,-2.25,-8.0,-112.0,-1.4,-1.5,72.25,2004,Luke McCown,QB,22.0,8.0,Louisiana Tech,76,208,4.71,37.5,,125.0,6.74,4.21,Cleveland Browns ,4.0,106.0,2004.0
Casey Bramlet,Wyoming,MWC,11.666666666666666,247.66666666666666,440.3333333333333,56.166666666666664,3132.0,7.099999999999999,6.333333333333333,18.333333333333332,15.666666666666666,122.53333333333335,96.0,-29.0,-0.3,4.666666666666667,3,0.5,8.0,-3.5,2.3000000000000007,-16.0,0.0,0.8999999999999999,6.5,-5.5,10.099999999999994,4.5,-40.0,-0.4,-1.5,,,,,,,,,,,,,,,,,,,
Charlie Frye,Akron,MAC,11.5,228.25,359.0,63.24999999999999,2762.25,7.625,7.525,16.0,8.0,137.375,93.75,107.25,1.0250000000000001,4.75,4,0.0,16.666666666666668,19.0,1.6000000000000014,190.0,0.16666666666666666,0.2666666666666666,3.0,0.6666666666666666,5.066666666666673,12.666666666666666,-9.333333333333334,-0.16666666666666666,-0.3333333333333333,,2005,Charlie Frye,QB,23.0,8.0,Akron,76,225,4.79,33.0,,113.0,6.94,4.08,Cleveland Browns ,3.0,67.0,2005.0
Lance Rice,Utah,MWC,11.0,169.0,302.0,56.0,2086.0,6.9,6.3,16.0,11.0,124.2,28.0,-12.0,-0.4,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
