Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Seasons,Delta_G,Delta_Passing_Cmp,Delta_Passing_Att,Delta_Passing_Pct,Delta_Passing_Yds,Delta_Passing_Y/A,Delta_Passing_AY/A,Delta_Passing_TD,Delta_Passing_Int,Delta_Passing_Rate,Delta_Rushing_Att,Delta_Rushing_Yds,Delta_Rushing_Avg,Delta_Rushing_TD,Rating,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Team,Round,Pick,Draftyear
Chad Pennington,Marshall,MAC,12.666666666666666,282.6666666666667,444.6666666666667,63.800000000000004,3815.3333333333335,8.633333333333333,9.200000000000001,35.666666666666664,10.0,158.23333333333335,56.0,20.333333333333332,0.3333333333333333,1.3333333333333333,3,-0.5,-0.5,-34.0,4.7500000000000036,-9.0,0.6500000000000004,0.6500000000000004,-2.5,-0.5,10.5,-0.5,76.5,1.35,0.5,,2000,Chad Pennington,QB,23.0,62.0,Marshall,75,229,4.81,33.5,,111.0,7.12,4.16,New York Jets ,1.0,18.0,2000.0
Dameyune Craig,Auburn,SEC,12.0,216.0,403.0,53.6,3277.0,8.1,7.6,18.0,13.0,130.2,96.0,0.0,0.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daunte Culpepper,UCF,Ind,11.0,267.0,391.5,68.05,3388.0,8.649999999999999,9.0,26.5,8.5,158.55,138.5,450.5,3.25,8.5,2,0.0,58.0,21.0,11.099999999999994,604.0,1.0999999999999996,1.6000000000000014,3.0,-3.0,23.299999999999983,5.0,25.0,0.09999999999999964,7.0,,,,,,,,,,,,,,,,,,,
Tim Lester,Western Michigan,MAC,11.0,224.0,381.3333333333333,58.53333333333333,3036.6666666666665,7.999999999999999,7.633333333333333,24.333333333333332,13.333333333333334,139.29999999999998,60.333333333333336,1.0,0.09999999999999994,0.6666666666666666,3,1.0,64.0,101.0,1.25,739.5,-0.19999999999999973,0.20000000000000018,8.5,1.0,2.75,-0.5,128.0,2.3,0.0,,,,,,,,,,,,,,,,,,,
Peyton Manning,Tennessee,SEC,12.0,287.0,477.0,60.2,3819.0,8.0,8.5,36.0,11.0,147.7,49.0,-30.0,-0.6,3.0,1,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,
Chris Keldorf,North Carolina,ACC,11.0,104.0,181.0,57.5,1448.0,8.0,7.1,12.0,9.0,136.6,26.0,-108.0,-4.2,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Barnette,North Carolina State,ACC,11.333333333333334,178.33333333333334,339.0,52.800000000000004,2622.3333333333335,7.733333333333334,7.133333333333333,16.666666666666668,11.333333333333334,127.2,80.33333333333333,38.0,0.5,3.6666666666666665,3,0.5,0.0,18.0,-3.0,-29.0,-0.5,-0.2999999999999998,-3.0,-2.5,-9.350000000000009,2.0,-27.5,-0.35000000000000003,1.0,,,,,,,,,,,,,,,,,,,
Ryan Clement,Miami (FL),Big East,11.0,157.0,267.0,58.8,2089.0,7.8,6.7,10.0,11.0,128.6,44.0,-120.0,-2.7,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Fitzgerald,Tulsa,WAC,11.0,139.0,256.0,54.3,2003.0,7.8,6.2,9.0,13.0,121.5,42.0,76.0,1.8,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Dicken,Purdue,Big Ten,12.0,224.0,407.0,55.0,3136.0,7.7,7.0,21.0,16.0,128.9,97.0,351.0,3.6,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Sauk,Utah State,Big West,11.0,190.0,378.0,50.3,2896.0,7.7,7.3,16.0,10.0,123.3,64.0,2.0,0.0,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Gonzalez,Pitt,Big East,11.0,198.0,345.0,57.4,2657.0,7.7,8.5,30.0,7.0,146.7,91.0,169.0,1.9,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Bonner,Temple,Big East,10.0,107.0,202.0,53.0,1561.0,7.7,5.7,7.0,12.0,117.4,51.0,-17.0,-0.3,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Clark,Virginia Tech,Big East,10.0,110.0,192.0,57.3,1477.0,7.7,8.0,10.0,3.0,136.0,94.0,347.0,3.7,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Batch,Eastern Michigan,MAC,11.0,247.0,434.0,56.9,3280.0,7.6,7.5,23.0,11.0,132.8,85.0,110.0,1.3,1.0,1,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,
Stewart Patridge,Ole Miss,SEC,11.0,228.0,352.0,64.8,2667.0,7.6,7.4,12.0,7.0,135.7,56.0,-108.0,-1.9,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Ricketts,Miami (OH),MAC,11.0,188.0,324.0,58.0,2466.0,7.6,7.2,16.0,10.0,132.1,76.0,273.0,3.6,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Bulger,West Virginia,Big East,12.0,233.0,371.0,62.400000000000006,3036.0,8.1,8.05,22.5,10.0,144.5,42.5,-92.5,-2.3,1.0,2,0.0,82.0,96.0,6.000000000000007,1142.0,1.0,1.9000000000000004,17.0,0.0,25.600000000000023,-19.0,1.0,-0.9999999999999998,-2.0,,2000,Marc Bulger,QB,22.0,64.0,West Virginia,74,208,4.97,,,100.0,7.46,4.34,New Orleans Saints ,6.0,168.0,2000.0
Nealon Greene,Clemson,ACC,12.0,180.0,290.0,62.1,2212.0,7.6,7.3,16.0,9.0,138.1,115.0,345.0,3.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herb Tyler,LSU,SEC,10.5,140.0,229.5,61.0,1799.5,7.85,7.65,14.0,7.0,140.3,90.5,230.5,2.5,7.0,2,-1.0,26.0,41.0,0.4000000000000057,437.0,0.5,1.3000000000000007,8.0,0.0,13.799999999999983,-11.0,-97.0,-0.7999999999999998,0.0,,,,,,,,,,,,,,,,,,,
